strain	date
22M5016734/BA.2.2/2022-06-30/Local_case/TKOH/CHAN_SL	2022-06-30
22M0626802/BA.2.2/2022-07-04/Local_case/AHNH/Catering/Chan_LH	2022-07-04
22M0626792/BA.2.2/2022-07-04/Local_case/AHNH/Catering/Cheung_ML	2022-07-04
VK22179319/BA.2.2/2022-06-28/Local_case/CTC/Catering/Huang_D	2022-06-28
VZ22119883/BA.2.2/2022-07-03/Local_case/CHP/Catering/Poon_YH	2022-07-03
22MM081844/BA.2.2/2022-07-08/Local_case/TKP/E2/PCA/PY	2022-07-08
22MM081847/BA.2.2/2022-07-08/Local_case/TKP/E2/PCA/LQ	2022-07-08
22MM548691/BA.2.2/2022-07-04/Local_case/TKP/E2/PCA/CLY	2022-07-04
22MM552076/BA.2.2/2022-07-09/Local_case/TKP/E3/PCA2/JY	2022-07-09
22MM082492/BA.2.2/2022-07-10/Local_case/TKP/E1/PCA2/HSW	2022-07-10
22MM081241/BA.2.2/2022-07-07/Local_case/TKP/E2/CYCJ	2022-07-07
22MM081668/BA.2.2/2022-07-08/Local_case/TKP/E2/YYM	2022-07-08
22MM551905/BA.2.2/2022-07-09/Local_case/TKP/E2/PCA/LKT	2022-07-09
22M0653240/BA.2.2/-/Local_case/AHNH/E5/CHAN_N_K	2022-07-07
22V3856981/BA.2.2/2022-07-10/Local_case/AHNH/E5_STAFF/LAM_Y_W	2022-07-10
22V3835546/BA.2.2/2022-07-08/Local_case/AHNH/E5/CHUI_L_K	2022-07-08
22V3826650/BA.2.2/2022-07-06/Local_case/AHNH/E5_STAFF/TSOI_K_N	2022-07-06
22M0641959/BA.2.2/2022-07-06/Local_case/AHNH/E5/LAM_M_A	2022-07-06
22M0648705/BA.2.2/2022-07-07/Local_case/AHNH/E5/LEE_C_N	2022-07-07
22M0637800/BA.2.2/2022-07-06/Local_case/AHNH/E5/TSOI_KY	2022-07-06
22M0638021/BA.2.2/2022-07-06/Local_case/AHNH/E5/YIP_WK	2022-07-06
22M0626761/BA.2.2/2022-07-04/Local_case/AHNH/E5/CHAN_PK	2022-07-04
22M0637707/BA.2.2/2022-07-06/Local_case/AHNH/E5/CHAN_CY	2022-07-06
22MM548369/BA.2.2/2022-07-05/Local_case/CPH/E002/CASE2/ZY	2022-07-05
22MM074656/BA.2.2/2022-07-05/Local_case/CPH/E002/PCA2/LMK	2022-07-05
22MM548168/BA.2.2/2022-07-05/Local_case/CPH/E002/PCA2/YCH	2022-07-05
22MM074605/BA.2.2/2022-07-05/Local_case/CPH/E002/PCA2/CCH	2022-07-05
22MM548419/BA.2.2/2022-07-05/Local_case/CPH/E002/CASE5/HWK	2022-07-05
22MM074858/BA.2.2/2022-07-05/Local_case/CPH/E002/CASE1/TML	2022-07-05
22MM077969/BA.2.2/2022-07-05/Local_case/CPH/E002/CASE4/LKM	2022-07-05
22M0650247/BA.2.2/-/Local_case/AHNH/E1/YEUNG_W_L	2022-07-07
22M0650498/BA.2.2/2022-07-07/Local_case/AHNH/E1/CHAN_S_H_DOUGLAS	2022-07-07
22V3796759/BA.2.2/-/Local_case/PWH/12C/Yu_K_L	2022-07-08
22V0187549/BA.2.2/-/Local_case/PWH/12C/Tam_Y_S	2022-07-08
22V0187398/BA.2.2/-/Local_case/PWH/12C/Wong_Y_Y_Adeline	2022-07-08
22V3844597/BA.2.2/2022-07-09/Local_case/NDH/STAFF/NG_T_Y	2022-07-09
22V3885819/BA.2.2/2022-07-14/Local_case/NDH/STAFF/LEE_YIU_WING	2022-07-14
22V3888960/BA.2.2/2022-07-14/Local_case/NDH/STAFF/YU_PIK_LING	2022-07-14
22V3863600/BA.2.2/2022-07-11/Local_case/NDH/STAFF/YIP_Y_P	2022-07-11
22MV659427/BA.2.2/2022-07-11/Local_case/TWE/A2R	2022-07-11
22MV659467/BA.2.2/2022-07-11/Local_case/TWE/A2R	2022-07-11
22MM564014/BA.2.2/2022-07-19/Local_case/TSH/2A/RN/LW	2022-07-19
22MM554205/BA.2.2/2022-07-11/Local_case/TSH/2A/WT	2022-07-11
22M0699024/BA.2.2/2022-07-15/Local_case/TPH/2DL/CHAN_YY	2022-07-15
22M0686000/BA.2.2/2022-07-13/Local_case/TPH/2DL/HUANG_L	2022-07-13
22M0699897/BA.2.2/2022-07-15/Local_case/TPH/2DL/NG_KT	2022-07-15
22V3906659/BA.2.2/2022-07-16/Local_case/NDH/3H/CHAN_SZE_MING	2022-07-16
22V3902150/BA.2.2/2022-07-16/Local_case/NDH/3H/PUN_TSAN_MING	2022-07-16
22V0196789/BA.2.2/-/Local_case/NDH/3H/LEE_KAM_HANG	2022-07-16
22V3938786/BA.2.2/-/Local_case/NDH/3H/HUANG_JINGSHENG	2022-07-16
22MM563275/BA.2.2/-/Local_case/NDH/3H-STAFF/TAM_LOK_YAN	2022-07-16
22V3904664/BA.2.2/2022-07-16/Local_case/NDH/3H/LAM_CHEUNG	2022-07-16
22V3907289/BA.2.2/2022-07-16/Local_case/NDH/3H/TAM_YAU_CHEUNG	2022-07-16
22V0199146/BA.2.2/-/Local_case/NDH/3H-STAFF/YEUNG_HOI_TING	2022-07-16
22V3909205/BA.2.2/2022-07-17/Local_case/NDH/AE01/TSANG_WAI_WA	2022-07-17
22V3918988/BA.2.2/2022-07-18/Local_case/NDH/AE01/WONG_KAI_LUNG	2022-07-18
22MM564845/BA.2.2/-/Local_case/TMH/D4/CMY	2022-07-22
22MM563909/BA.2.2/-/Local_case/TMH/D4/HSJ	2022-07-22
22MM564573/BA.2.2/-/Local_case/TMH/D4/RN/TCH	2022-07-22
22MM568261/BA.2.2/-/Local_case/TMH/D4/EN/TWM	2022-07-22
22MM559291/BA.2.2/-/Local_case/TMH/D4/PCA/LLY	2022-07-22
22MM564579/BA.2.2/-/Local_case/TMH/D4/LCO	2022-07-22
22MM557279/BA.2.2/-/Local_case/TMH/D4/LP	2022-07-22
22MM557985/BA.2.2/-/Local_case/TMH/D4/PCA/YX	2022-07-22
22V3983391/BA.2.2/2022-07-24/Local_case/SH/9D/LAM_HJ	2022-07-24
22V3986349/BA.2.2/2022-07-25/Local_case/SH/9D/CHENG_BW	2022-07-25
22V3982314/BA.2.2/-/Local_case/SH/9D/CHAN_ML	2022-07-24
22V3984990/BA.2.2/2022-07-24/Local_case/SH/9D/TAM_SH	2022-07-24
22V3982345/BA.2.2/-/Local_case/SH/9D/TAI_KK	2022-07-24
22V3986071/BA.2.2/2022-07-25/Local_case/SH/9D/LUI_SM	2022-07-25
22V0711683/BA.2.2/2022-07-22/Local_case/SH/9D/LAM_CY	2022-07-22
22V3986095/BA.2.2/2022-07-25/Local_case/SH/9D/LEE_HC_B	2022-07-25
22V4003928/BA.2.2/2022-07-22/Local_case/SH/9D/CHEUNG_HM	2022-07-22
22MB351970/BA.2.2/2022-07-23/Local_case/KCH/L2	2022-07-23
22MC746543/BA.2.2/2022-07-26/Local_case/KCH/L2	2022-07-26
22TM347527/BA.2.2/2022-07-26/Local_case/KCH/L2	2022-07-26
22MB358559/BA.2.2/2022-08-07/Local_case/KCH/L2	2022-08-07
22MB876981/BA.2.2/2022-08-10/Local_case/KCH/L2	2022-08-10
22MV906121/BA.2.2/2022-07-24/Local_case/RH/C7	2022-07-24
22MV906196/BA.2.2/2022-07-27/Local_case/RH/C7	2022-07-27
22MV811425/BA.2.2/2022-07-28/Local_case/PYNEH/E8-D11	2022-07-28
22MV811085/BA.2.2/2022-07-26/Local_case/PYNEH/E8-B11	2022-07-26
22MB354601/BA.2.2/2022-07-29/Local_case/PMH/STAFF	2022-07-29
22MB354339/BA.2.2/2022-07-29/Local_case/PMH	2022-07-29
22MB353572/BA.2.2/2022-07-27/Local_case/PMH	2022-07-27
22MB353342/BA.2.2/2022-07-26/Local_case/PMH/INDEX	2022-07-26
22TM350103/BA.2.2/2022-07-30/Local_case/PMH	2022-07-30
22MB354375/BA.2.2/2022-07-29/Local_case/PMH	2022-07-29
22V4004644/BA.2.2/2022-07-26/Local_case/NDH/SH-NEATS-PATIENT/SHUM_YEE_CHING	2022-07-26
22V4005676/BA.2.2/2022-07-27/Local_case/NDH/SH-NEATS-PATIENT/SHUM_YEE_CHING	2022-07-27
22V4008868/BA.2.2/2022-07-27/Local_case/NDH/SH-NEATS-PATIENT/POON_HUNG_WAI	2022-07-27
22M0769387/BA.2.2/2022-08-02/Local_case/AHNH/SH-NEATS-PATIENT/LI_KAM_YUNG	2022-08-02
22MM577643/BA.2.2/2022-08-14/Local_case/TMH/H1/PCA2/YSL	2022-08-14
22MM100942/BA.2.2/2022-08-14/Local_case/TMH/H1/WKY	2022-08-14
22MM582358/BA.2.2/2022-08-15/Local_case/TMH/H1/PCA2/TYC	2022-08-15
22MM582177/BA.2.2/2022-08-15/Local_case/TMH/H1/LCW	2022-08-15
22MM578717/BA.2.2/2022-08-16/Local_case/TMH/H1/LHC	2022-08-16
22MM577806/BA.2.2/2022-08-15/Local_case/TMH/H1/TCK	2022-08-15
22MM578482/BA.2.2/2022-08-15/Local_case/TMH/H1/LWL	2022-08-15
22MM578447/BA.2.2/2022-08-15/Local_case/TMH/H1/NCY	2022-08-15
22MM101606/BA.2.2/2022-08-15/Local_case/TMH/H1/HCY	2022-08-15
22MM577578/BA.2.2/2022-08-14/Local_case/TMH/H1/SS	2022-08-14
22MM574883/BA.2.2/2022-08-12/Local_case/TMH/H1/PCA3A/KCH	2022-08-12
22MM574911/BA.2.2/2022-08-12/Local_case/TMH/H1/PCA2/SM	2022-08-12
22MM578718/BA.2.2/2022-08-16/Local_case/TMH/H1/TKT	2022-08-16
22MM101805/BA.2.2/2022-08-16/Local_case/TMH/H1/KPC	2022-08-16
hCoV-19/HongKong/VM22017946/2022	2022-02-11
hCoV-19/HongKong/VZ22064613/2022	2022-03-21
hCoV-19/HongKong/VZ22064629/2022	2022-03-21
hCoV-19/HongKong/VZ22064627/2022	2022-03-21
hCoV-19/HongKong/VZ22064623/2022	2022-03-21
hCoV-19/HongKong/VZ22064619/2022	2022-03-21
hCoV-19/HongKong/VZ22064598/2022	2022-03-21
hCoV-19/HongKong/VZ22064585/2022	2022-03-21
hCoV-19/HongKong/VZ22064583/2022	2022-03-21
hCoV-19/HongKong/VZ22064580/2022	2022-03-21
hCoV-19/HongKong/VZ22064567/2022	2022-03-21
hCoV-19/HongKong/VZ22064561/2022	2022-03-21
hCoV-19/HongKong/VZ22064555/2022	2022-03-21
hCoV-19/HongKong/VZ22064553/2022	2022-03-21
hCoV-19/HongKong/VZ22064552/2022	2022-03-21
hCoV-19/HongKong/VZ22064547/2022	2022-03-21
hCoV-19/HongKong/VZ22064523/2022	2022-03-21
hCoV-19/HongKong/VZ22071863/2022	2022-03-27
hCoV-19/HongKong/VZ22071643/2022	2022-03-27
hCoV-19/HongKong/VZ22064521/2022	2022-03-15
hCoV-19/HongKong/VZ22064508/2022	2022-03-21
hCoV-19/HongKong/VZ22064507/2022	2022-03-21
hCoV-19/HongKong/VZ22064504/2022	2022-03-21
hCoV-19/HongKong/VZ22064501/2022	2022-03-21
hCoV-19/HongKong/VZ22064499/2022	2022-03-21
hCoV-19/HongKong/VZ22064497/2022	2022-03-21
hCoV-19/HongKong/VZ22064490/2022	2022-03-21
hCoV-19/HongKong/VZ22064474/2022	2022-03-21
hCoV-19/HongKong/VZ22064468/2022	2022-03-21
hCoV-19/HongKong/VZ22064457/2022	2022-03-21
hCoV-19/HongKong/VZ22064455/2022	2022-03-21
hCoV-19/HongKong/VZ22064453/2022	2022-03-21
hCoV-19/HongKong/VZ22064450/2022	2022-03-21
hCoV-19/HongKong/VZ22064435/2022	2022-03-15
hCoV-19/HongKong/VZ22064434/2022	2022-03-21
hCoV-19/HongKong/VZ22064422/2022	2022-03-21
hCoV-19/HongKong/VZ22064421/2022	2022-03-21
hCoV-19/HongKong/VZ22064405/2022	2022-03-21
hCoV-19/HongKong/VZ22064403/2022	2022-03-21
hCoV-19/HongKong/VZ22064402/2022	2022-03-21
hCoV-19/HongKong/VZ22064398/2022	2022-03-21
hCoV-19/HongKong/VZ22064393/2022	2022-03-21
hCoV-19/HongKong/VZ22064390/2022	2022-03-21
hCoV-19/HongKong/VZ22064389/2022	2022-03-21
hCoV-19/HongKong/VZ22064380/2022	2022-03-21
hCoV-19/HongKong/VZ22064377/2022	2022-03-21
hCoV-19/HongKong/VZ22064375/2022	2022-03-21
hCoV-19/HongKong/VZ22064357/2022	2022-03-21
hCoV-19/HongKong/VZ22064356/2022	2022-03-21
hCoV-19/HongKong/VZ22064354/2022	2022-03-21
hCoV-19/HongKong/VZ22064352/2022	2022-03-21
hCoV-19/HongKong/VZ22064344/2022	2022-03-21
hCoV-19/HongKong/VZ22064332/2022	2022-03-21
hCoV-19/HongKong/VZ22064327/2022	2022-03-21
hCoV-19/HongKong/VZ22064314/2022	2022-03-21
hCoV-19/HongKong/VZ22064312/2022	2022-03-21
hCoV-19/HongKong/VZ22064307/2022	2022-03-21
hCoV-19/HongKong/VZ22064306/2022	2022-03-21
hCoV-19/HongKong/VZ22064304/2022	2022-03-21
hCoV-19/HongKong/VZ22064301/2022	2022-03-21
hCoV-19/HongKong/VZ22064295/2022	2022-03-21
hCoV-19/HongKong/VZ22064286/2022	2022-03-21
hCoV-19/HongKong/VZ22064278/2022	2022-03-21
hCoV-19/HongKong/VZ22064274/2022	2022-03-21
hCoV-19/HongKong/VZ22064273/2022	2022-03-21
hCoV-19/HongKong/VZ22064272/2022	2022-03-21
hCoV-19/HongKong/VZ22064265/2022	2022-03-21
hCoV-19/HongKong/HKU-220326-098/2022	2022-02-23
hCoV-19/HongKong/HKU-220326-168/2022	2022-03-07
hCoV-19/HongKong/HKU-220326-166/2022	2022-03-07
hCoV-19/HongKong/HKU-220326-165/2022	2022-03-07
hCoV-19/HongKong/HKU-220326-164/2022	2022-03-07
hCoV-19/HongKong/HKU-220326-163/2022	2022-03-07
hCoV-19/HongKong/HKU-220326-162/2022	2022-03-07
hCoV-19/HongKong/HKU-220326-161/2022	2022-03-07
hCoV-19/HongKong/HKU-220326-160/2022	2022-03-07
hCoV-19/HongKong/HKU-220326-159/2022	2022-03-04
hCoV-19/HongKong/HKU-220326-158/2022	2022-03-03
hCoV-19/HongKong/HKU-220326-157/2022	2022-03-03
hCoV-19/HongKong/HKU-220326-156/2022	2022-03-01
hCoV-19/HongKong/HKU-220326-155/2022	2022-03-01
hCoV-19/HongKong/HKU-220326-154/2022	2022-03-01
hCoV-19/HongKong/HKU-220326-153/2022	2022-03-01
hCoV-19/HongKong/HKU-220326-152/2022	2022-03-01
hCoV-19/HongKong/HKU-220326-151/2022	2022-03-01
hCoV-19/HongKong/HKU-220326-150/2022	2022-03-01
hCoV-19/HongKong/HKU-220326-148/2022	2022-02-28
hCoV-19/HongKong/HKU-220326-145/2022	2022-02-28
hCoV-19/HongKong/HKU-220326-139/2022	2022-02-27
hCoV-19/HongKong/HKU-220326-138/2022	2022-02-27
hCoV-19/HongKong/HKU-220326-135/2022	2022-02-27
hCoV-19/HongKong/HKU-220326-125/2022	2022-02-19
hCoV-19/HongKong/HKU-220326-124/2022	2022-02-12
hCoV-19/HongKong/HKU-220326-121/2022	2022-02-26
hCoV-19/HongKong/HKU-220326-118/2022	2022-02-26
hCoV-19/HongKong/HKU-220326-113/2022	2022-02-25
hCoV-19/HongKong/HKU-220326-112/2022	2022-02-25
hCoV-19/HongKong/HKU-220326-106/2022	2022-02-24
hCoV-19/HongKong/HKU-220326-100/2022	2022-02-24
hCoV-19/HongKong/HKU-220326-099/2022	2022-02-23
hCoV-19/HongKong/HKU-220326-095/2022	2022-02-23
hCoV-19/HongKong/HKU-220326-093/2022	2022-02-22
hCoV-19/HongKong/HKU-220326-091/2022	2022-02-22
hCoV-19/HongKong/HKU-220326-089/2022	2022-02-22
hCoV-19/HongKong/HKU-220326-088/2022	2022-03-02
hCoV-19/HongKong/HKU-220326-087/2022	2022-03-01
hCoV-19/HongKong/HKU-220326-078/2022	2022-02-07
hCoV-19/HongKong/HKU-220326-072/2022	2022-02-05
hCoV-19/HongKong/HKU-220326-069/2022	2022-02-19
hCoV-19/HongKong/HKU-220326-068/2022	2022-02-19
hCoV-19/HongKong/HKU-220326-064/2022	2022-03-11
hCoV-19/HongKong/HKU-220326-062/2022	2022-02-20
hCoV-19/HongKong/HKU-220326-060/2022	2022-02-17
hCoV-19/HongKong/HKU-220326-056/2022	2022-02-19
hCoV-19/HongKong/HKU-220326-055/2022	2022-02-19
hCoV-19/HongKong/HKU-220326-053/2022	2022-02-10
hCoV-19/HongKong/HKU-220326-047/2022	2022-02-08
hCoV-19/HongKong/HKU-220326-037/2022	2022-02-21
hCoV-19/HongKong/HKU-220326-035/2022	2022-02-21
hCoV-19/HongKong/HKU-220326-030/2022	2022-02-20
hCoV-19/HongKong/HKU-220326-028/2022	2022-02-20
hCoV-19/HongKong/HKU-220326-027/2022	2022-02-20
hCoV-19/HongKong/HKU-220326-026/2022	2022-02-20
hCoV-19/HongKong/HKU-220326-025/2022	2022-02-20
hCoV-19/HongKong/HKU-220326-023/2022	2022-02-20
hCoV-19/HongKong/HKU-220326-021/2022	2022-02-20
hCoV-19/HongKong/HKU-220326-020/2022	2022-02-18
hCoV-19/HongKong/HKU-220326-018/2022	2022-02-17
hCoV-19/HongKong/HKU-220326-017/2022	2022-02-17
hCoV-19/HongKong/HKU-220326-016/2022	2022-02-18
hCoV-19/HongKong/HKU-220326-015/2022	2022-02-17
hCoV-19/HongKong/HKU-220326-013/2022	2022-02-17
hCoV-19/HongKong/HKU-220326-009/2022	2022-02-17
hCoV-19/HongKong/HKU-220326-008/2022	2022-02-17
hCoV-19/HongKong/HKU-220326-007/2022	2022-02-17
hCoV-19/HongKong/VZ22052532/2022	2022-03-13
hCoV-19/HongKong/VZ22052531/2022	2022-03-13
hCoV-19/HongKong/VZ22052529/2022	2022-03-13
hCoV-19/HongKong/VZ22052528/2022	2022-03-13
hCoV-19/HongKong/VZ22052527/2022	2022-03-13
hCoV-19/HongKong/VZ22052526/2022	2022-03-13
hCoV-19/HongKong/VZ22052521/2022	2022-03-13
hCoV-19/HongKong/VZ22052518/2022	2022-03-13
hCoV-19/HongKong/VZ22052515/2022	2022-03-13
hCoV-19/HongKong/VZ22052512/2022	2022-03-13
hCoV-19/HongKong/VZ22052511/2022	2022-03-13
hCoV-19/HongKong/VZ22052509/2022	2022-03-13
hCoV-19/HongKong/VZ22052501/2022	2022-03-13
hCoV-19/HongKong/VZ22052497/2022	2022-03-13
hCoV-19/HongKong/VZ22052493/2022	2022-03-13
hCoV-19/HongKong/VZ22052492/2022	2022-03-13
hCoV-19/HongKong/VZ22052491/2022	2022-03-13
hCoV-19/HongKong/VZ22052490/2022	2022-03-13
hCoV-19/HongKong/VZ22052488/2022	2022-03-13
hCoV-19/HongKong/VZ22052486/2022	2022-03-13
hCoV-19/HongKong/VZ22052485/2022	2022-03-13
hCoV-19/HongKong/VZ22052484/2022	2022-03-13
hCoV-19/HongKong/VZ22052478/2022	2022-03-13
hCoV-19/HongKong/VZ22052475/2022	2022-03-13
hCoV-19/HongKong/VZ22052474/2022	2022-02-13
hCoV-19/HongKong/VZ22052473/2022	2022-03-13
hCoV-19/HongKong/VZ22052472/2022	2022-03-13
hCoV-19/HongKong/VZ22052471/2022	2022-03-13
hCoV-19/HongKong/VZ22052469/2022	2022-03-13
hCoV-19/HongKong/VZ22052467/2022	2022-03-13
hCoV-19/HongKong/VZ22052465/2022	2022-03-15
hCoV-19/HongKong/VZ22052463/2022	2022-03-13
hCoV-19/HongKong/VZ22052462/2022	2022-03-13
hCoV-19/HongKong/VZ22052459/2022	2022-03-13
hCoV-19/HongKong/VZ22052454/2022	2022-03-13
hCoV-19/HongKong/VZ22052453/2022	2022-03-13
hCoV-19/HongKong/VZ22052452/2022	2022-03-13
hCoV-19/HongKong/VZ22052451/2022	2022-03-13
hCoV-19/HongKong/VZ22052450/2022	2022-03-13
hCoV-19/HongKong/VZ22052449/2022	2022-03-13
hCoV-19/HongKong/VZ22052447/2022	2022-03-12
hCoV-19/HongKong/VZ22052446/2022	2022-03-12
hCoV-19/HongKong/VZ22052444/2022	2022-03-12
hCoV-19/HongKong/VZ22052442/2022	2022-03-12
hCoV-19/HongKong/VZ22052441/2022	2022-03-13
hCoV-19/HongKong/VZ22018111/2022	2022-03-05
hCoV-19/HongKong/VZ22018105/2022	2022-03-05
hCoV-19/HongKong/VZ22018104/2022	2022-03-04
hCoV-19/HongKong/VZ22018103/2022	2022-03-03
hCoV-19/HongKong/VZ22018090/2022	2022-03-03
hCoV-19/HongKong/VZ22018089/2022	2022-03-04
hCoV-19/HongKong/VZ22018088/2022	2022-03-04
hCoV-19/HongKong/VZ22018081/2022	2022-03-04
hCoV-19/HongKong/VZ22018078/2022	2022-03-04
hCoV-19/HongKong/VZ22018071/2022	2022-03-04
hCoV-19/HongKong/VZ22018064/2022	2022-03-03
hCoV-19/HongKong/VZ22018063/2022	2022-03-03
hCoV-19/HongKong/VZ22018061/2022	2022-03-03
hCoV-19/HongKong/VZ22018059/2022	2022-03-03
hCoV-19/HongKong/VZ22018056/2022	2022-03-05
hCoV-19/HongKong/VZ22018044/2022	2022-03-05
hCoV-19/HongKong/VZ22018041/2022	2022-03-04
hCoV-19/HongKong/VZ22018040/2022	2022-03-05
hCoV-19/HongKong/VZ22018039/2022	2022-03-05
hCoV-19/HongKong/VZ22018037/2022	2022-03-04
hCoV-19/HongKong/CH22052950/2022	2022-03-05
hCoV-19/HongKong/CH22052944/2022	2022-03-05
hCoV-19/HongKong/CH22052937/2022	2022-03-05
hCoV-19/HongKong/CH22052933/2022	2022-03-05
hCoV-19/HongKong/CH22052931/2022	2022-03-05
hCoV-19/HongKong/CH22052928/2022	2022-03-05
hCoV-19/HongKong/CH22052926/2022	2022-03-05
hCoV-19/HongKong/CH22052925/2022	2022-03-05
hCoV-19/HongKong/CH22052920/2022	2022-03-05
hCoV-19/HongKong/CH22052919/2022	2022-03-05
hCoV-19/HongKong/CH22052917/2022	2022-03-05
hCoV-19/HongKong/CH22052915/2022	2022-03-05
hCoV-19/HongKong/CH22052907/2022	2022-03-05
hCoV-19/HongKong/CH22052905/2022	2022-03-05
hCoV-19/HongKong/CH22052902/2022	2022-03-05
hCoV-19/HongKong/CH22052901/2022	2022-03-05
hCoV-19/HongKong/CH22052900/2022	2022-03-05
hCoV-19/HongKong/CH22052899/2022	2022-03-05
hCoV-19/HongKong/CH22052893/2022	2022-03-05
hCoV-19/HongKong/CH22052891/2022	2022-03-05
hCoV-19/HongKong/CH22052890/2022	2022-03-03
hCoV-19/HongKong/CH22052886/2022	2022-03-05
hCoV-19/HongKong/VB22003841/2022	2022-03-02
hCoV-19/HongKong/CH22045565/2022	2022-02-25
hCoV-19/HongKong/CH22045552/2022	2022-02-25
hCoV-19/HongKong/CH22045551/2022	2022-02-25
hCoV-19/HongKong/CH22045550/2022	2022-02-25
hCoV-19/HongKong/CH22045538/2022	2022-02-25
hCoV-19/HongKong/CH22045536/2022	2022-02-25
hCoV-19/HongKong/CH22045530/2022	2022-02-26
hCoV-19/HongKong/CH22043294/2022	2022-02-24
hCoV-19/HongKong/CH22043292/2022	2022-02-25
hCoV-19/HongKong/CH22043291/2022	2022-02-25
hCoV-19/HongKong/CH22043287/2022	2022-02-25
hCoV-19/HongKong/CH22043285/2022	2022-02-24
hCoV-19/HongKong/VM22023312/2022	2022-02-13
hCoV-19/HongKong/CH22045524/2022	2022-02-25
hCoV-19/HongKong/CH22045523/2022	2022-02-22
hCoV-19/HongKong/CH22045510/2022	2022-02-25
hCoV-19/HongKong/VM22017939/2022	2022-02-11
hCoV-19/HongKong/VM22017924/2022	2022-02-11
hCoV-19/HongKong/VM22017896/2022	2022-02-11
hCoV-19/HongKong/VM22017884/2022	2022-02-11
hCoV-19/HongKong/VM22017882/2022	2022-02-11
hCoV-19/HongKong/VM22017875/2022	2022-02-11
hCoV-19/HongKong/VM22016824/2022	2022-02-08
hCoV-19/HongKong/VM22016821/2022	2022-02-08
hCoV-19/HongKong/VM22016815/2022	2022-02-08
hCoV-19/HongKong/VM22016812/2022	2022-02-08
hCoV-19/HongKong/VM22015751/2022	2022-02-10
hCoV-19/HongKong/VM22011955R/2022	2022-02-08
hCoV-19/HongKong/VM22011751R/2022	2022-02-07
hCoV-19/HongKong/VM22011675R/2022	2022-02-08
hCoV-19/HongKong/VM22011648R/2022	2022-02-08
hCoV-19/HongKong/VM22011635R/2022	2022-02-08
hCoV-19/HongKong/VM22011590/2022	2022-02-08
hCoV-19/HongKong/VM22015745/2022	2022-02-10
hCoV-19/HongKong/VM22015744/2022	2022-02-10
hCoV-19/HongKong/VM22015728/2022	2022-02-10
hCoV-19/HongKong/VM22015722/2022	2022-02-09
hCoV-19/HongKong/VM22015720/2022	2022-02-10
hCoV-19/HongKong/VM22015718/2022	2022-02-10
hCoV-19/HongKong/VM22015700/2022	2022-02-10
hCoV-19/HongKong/VM22013406/2022	2022-02-09
hCoV-19/HongKong/VM22013309/2022	2022-02-09
hCoV-19/HongKong/VM22013265/2022	2022-02-09
hCoV-19/HongKong/VM22006341/2022	2022-02-02
